time,temperature,setpoint,power
2024-08-21 17:37:55.745958,42.43,42.0,0.0
2024-08-21 17:38:13.609326,42.41,42.0,0.0
2024-08-21 17:38:31.472699,42.37,42.0,0.0
2024-08-21 17:38:49.335864,42.37,42.0,0.0
2024-08-21 17:39:07.199215,42.37,42.0,0.0
2024-08-21 17:39:25.062244,42.37,42.0,0.0
2024-08-21 17:39:42.925433,42.34,42.0,0.0
2024-08-21 17:40:00.788659,42.31,42.0,0.0
2024-08-21 17:40:18.651810,42.31,42.0,0.0
2024-08-21 17:40:36.514679,42.31,42.0,0.0
2024-08-21 17:40:54.377932,42.31,42.0,0.0
2024-08-21 17:41:12.241074,42.31,42.0,0.0
2024-08-21 17:41:30.103676,42.26,42.0,0.0
2024-08-21 17:41:47.966927,42.25,42.0,0.0
2024-08-21 17:42:05.829570,42.25,42.0,0.0
2024-08-21 17:42:23.692479,42.25,42.0,0.0
2024-08-21 17:42:41.555121,42.25,42.0,0.0
2024-08-21 17:42:59.418135,42.21,42.0,0.0
2024-08-21 17:43:17.280969,42.19,42.0,0.0
2024-08-21 17:43:35.143590,42.19,42.0,0.0
2024-08-21 17:43:53.006228,42.19,42.0,0.0
2024-08-21 17:44:10.868993,42.19,42.0,0.0
2024-08-21 17:44:28.731864,42.16,42.0,0.0
2024-08-21 17:44:46.594631,42.13,42.0,0.0
2024-08-21 17:45:04.457308,42.13,42.0,0.0
2024-08-21 17:45:22.320244,42.13,42.0,0.0
2024-08-21 17:45:40.183118,42.13,42.0,0.0
2024-08-21 17:45:58.045933,42.10,42.0,0.0
2024-08-21 17:46:15.908508,42.06,42.0,0.0
2024-08-21 17:46:33.770848,42.06,42.0,0.0
2024-08-21 17:46:51.633273,42.06,42.0,0.0
2024-08-21 17:47:09.496020,42.06,42.0,0.0
2024-08-21 17:47:27.358294,42.06,42.0,0.0
2024-08-21 17:47:45.221111,42.03,42.0,0.0
2024-08-21 17:48:03.083313,42.00,42.0,0.0
2024-08-21 17:48:20.945812,42.00,42.0,0.0
2024-08-21 17:48:38.808426,42.00,42.0,0.0
2024-08-21 17:48:56.671135,42.00,42.0,0.0
2024-08-21 17:49:14.534216,41.96,42.0,4.8
2024-08-21 17:49:32.396690,41.94,42.0,8.3
2024-08-21 17:49:50.259013,41.94,42.0,8.3
2024-08-21 17:50:08.121519,41.94,42.0,9.5
2024-08-21 17:50:25.984009,41.94,42.0,10.7
2024-08-21 17:50:43.846029,41.94,42.0,10.7
